FALSE,en.wikipedia.org/wiki/HMS_Bellerophon_(1786),ENGLISH
FALSE,de.wikipedia.org/wiki/Attentat_von_Sarajevo,GERMAN
FALSE,en.wikipedia.org/wiki/Frank_the_Baptist,ENGLISH
FALSE,en.wikipedia.org/wiki/Spiral_Shadow,ENGLISH
FALSE,es.wikipedia.org/wiki/Hiroshi_Yamashiro,SPANISH
FALSE,es.wikipedia.org/wiki/Par%C3%A8,SPANISH
FALSE,en.wikipedia.org/wiki/Ryan_International_Noida,ENGLISH
FALSE,es.wikipedia.org/wiki/Beecher_(Wisconsin),SPANISH
FALSE,es.wikipedia.org/wiki/Varelito,SPANISH
FALSE,en.wikipedia.org/wiki/Columbia_Journal_of_Transnational_Law,ENGLISH
FALSE,en.wikipedia.org/wiki/Seven_Hours_of_Violence,ENGLISH
FALSE,es.wikipedia.org/wiki/Cunco_(estaci%C3%B3n),SPANISH
FALSE,es.wikipedia.org/wiki/FON,SPANISH
FALSE,en.wikipedia.org/wiki/Orion_(manga),ENGLISH
FALSE,es.wikipedia.org/wiki/Heraclea_P%C3%B3ntica,SPANISH
FALSE,es.wikipedia.org/wiki/Best_Friends_(canci%C3%B3n_de_Raven-Symon%C3%A9),SPANISH
FALSE,ar.wikipedia.org/wiki/%D8%AD%D8%B3%D9%86_%D8%A7%D9%84%D9%83%D8%AA%D8%A7%D9%86%D9%8A,ARABIC
FALSE,ar.wikipedia.org/wiki/%D9%84%D8%B3%D8%A7%D9%86%D9%8A_%D8%A7%D9%84%D8%B4%D9%8A%D8%B1%D8%A7%D8%B2%D9%8A,ARABIC
FALSE,fr.wikipedia.org/wiki/%C3%89douard_S%C3%A9guin,FRENCH
FALSE,fr.wikipedia.org/wiki/Saint-Gervais-en-Valli%C3%A8re,FRENCH
FALSE,fr.wikipedia.org/wiki/Communaut%C3%A9_rurale_de_Keur_Momar_Sarr,FRENCH
FALSE,fr.wikipedia.org/wiki/Raz_de_mar%C3%A9e_de_mars_709,FRENCH
FALSE,de.wikipedia.org/wiki/Gert-Peter_Reichert,GERMAN
FALSE,de.wikipedia.org/wiki/Johannes_Hanselmann,GERMAN
FALSE,de.wikipedia.org/wiki/StadtBauKultur_NRW,GERMAN
FALSE,de.wikipedia.org/wiki/Derrick_De_Marney,GERMAN
FALSE,pt.wikipedia.org/wiki/Acaena_tasmanica,PORTUGUESE
FALSE,pt.wikipedia.org/wiki/Diego_Dom%C3%ADnguez_(ator),PORTUGUESE
FALSE,pt.wikipedia.org/wiki/Sierra_de_Luna,PORTUGUESE
FALSE,pt.wikipedia.org/wiki/Rio_Ca%C5%9Fin_(R%C3%A2ul_Negru),PORTUGUESE
FALSE,fi.wikipedia.org/wiki/Arizona_Cardinals,FINNISH
FALSE,fi.wikipedia.org/wiki/Pietarin_l%C3%A4%C3%A4ketieteellinen_valtionyliopisto,FINNISH
FALSE,fi.wikipedia.org/wiki/Inkiv%C3%A4%C3%A4ri,FINNISH
FALSE,fi.wikipedia.org/wiki/Daping_Qin,FINNISH
FALSE,no.wikipedia.org/wiki/HFC_Haarlem,NORWEGIAN
FALSE,no.wikipedia.org/wiki/Giovanni_Battista_Tiepolo,NORWEGIAN
FALSE,no.wikipedia.org/wiki/Edmond_Cloetens,NORWEGIAN
FALSE,no.wikipedia.org/wiki/Burry_Stander,NORWEGIAN
FALSE,it.wikipedia.org/wiki/Badia_di_Santa_Maria_della_Neve,ITALIAN
FALSE,it.wikipedia.org/wiki/UAE_Football_League_2007-2008,ITALIAN
FALSE,it.wikipedia.org/wiki/Les_Trois_Vall%C3%A9es,ITALIAN
FALSE,it.wikipedia.org/wiki/Legio_III_Italica,ITALIAN
FALSE,nl.wikipedia.org/wiki/Baryceros_persimilis,DUTCH
FALSE,nl.wikipedia.org/wiki/NGC_1035,DUTCH
FALSE,nl.wikipedia.org/wiki/Raphidophallus_actuosus,DUTCH
FALSE,nl.wikipedia.org/wiki/Neohirasea_asperatus,DUTCH
FALSE,da.wikipedia.org/wiki/Moritz_Schmidt,DANISH
FALSE,da.wikipedia.org/wiki/Kasper_Kesje,DANISH
FALSE,da.wikipedia.org/wiki/Birmingham_Airport,DANISH
FALSE,da.wikipedia.org/wiki/Hybris,DANISH
FALSE,sv.wikipedia.org/wiki/Denticetopsis_praecox,SWEDISH
FALSE,sv.wikipedia.org/wiki/Dasyhelea_korfoensis,SWEDISH
FALSE,sv.wikipedia.org/wiki/Nereis_serrata,SWEDISH
FALSE,sv.wikipedia.org/wiki/Empis_exotica,SWEDISH
FALSE,eo.wikipedia.org/wiki/Ta%C4%9D-Mahalo,ESPERANTO
FALSE,eo.wikipedia.org/wiki/Granda_Londono,ESPERANTO
FALSE,eo.wikipedia.org/wiki/Kunmadaras,ESPERANTO
FALSE,eo.wikipedia.org/wiki/Volno_(%C4%9Cankoja_distrikto),ESPERANTO
FALSE,ru.wikipedia.org/wiki/%D0%AD%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D0%BA%D0%B0_%D0%A8%D0%B2%D0%B5%D0%B9%D1%86%D0%B0%D1%80%D0%B8%D0%B8,RUSSIAN
